age,educational-num,marital-status,race,gender,hours-per-week,income
46,9,Married-civ-spouse,White,Male,40,<=50K
23,7,Never-married,White,Female,24,<=50K
44,9,Married-spouse-absent,White,Female,40,<=50K
43,13,Divorced,White,Female,40,>50K
31,13,Divorced,White,Female,60,<=50K
18,10,Never-married,White,Female,25,<=50K
19,10,Never-married,White,Male,30,<=50K
41,10,Divorced,White,Female,40,<=50K
41,9,Divorced,White,Female,40,<=50K
69,9,Divorced,White,Female,25,<=50K
48,16,Married-civ-spouse,White,Female,40,>50K
28,9,Never-married,White,Male,40,<=50K
27,9,Married-civ-spouse,White,Male,60,>50K
41,14,Married-civ-spouse,White,Male,50,>50K
41,10,Married-civ-spouse,White,Male,40,<=50K
24,9,Never-married,Black,Female,40,<=50K
20,9,Never-married,White,Female,40,<=50K
42,16,Married-civ-spouse,White,Male,41,>50K
57,9,Married-civ-spouse,Black,Male,48,<=50K
30,12,Never-married,White,Female,40,<=50K
36,9,Married-civ-spouse,White,Male,60,>50K
49,4,Married-civ-spouse,Black,Male,40,<=50K
33,9,Married-civ-spouse,White,Female,35,<=50K
23,6,Married-civ-spouse,White,Male,40,<=50K
46,14,Married-civ-spouse,White,Male,40,<=50K
18,10,Never-married,Asian-Pac-Islander,Female,22,<=50K
40,9,Married-civ-spouse,White,Male,55,>50K
43,9,Married-civ-spouse,White,Male,45,>50K
34,14,Never-married,White,Female,30,<=50K
47,9,Widowed,White,Female,30,<=50K
44,11,Widowed,White,Female,30,<=50K
33,9,Married-civ-spouse,White,Male,40,>50K
55,13,Married-civ-spouse,White,Male,50,>50K
19,9,Never-married,White,Male,30,<=50K
28,10,Never-married,Black,Male,14,<=50K
27,7,Married-civ-spouse,Black,Female,32,<=50K
50,4,Married-civ-spouse,White,Male,20,<=50K
22,7,Never-married,White,Male,40,<=50K
40,13,Married-civ-spouse,White,Male,45,>50K
25,10,Never-married,White,Female,40,<=50K
26,9,Never-married,White,Male,40,<=50K
22,13,Never-married,White,Male,25,<=50K
42,10,Never-married,Black,Female,40,<=50K
38,13,Divorced,White,Male,40,<=50K
55,7,Married-civ-spouse,White,Male,30,<=50K
32,9,Married-civ-spouse,White,Male,40,<=50K
22,9,Married-civ-spouse,White,Male,45,<=50K
29,13,Never-married,White,Male,40,<=50K
46,14,Married-civ-spouse,White,Male,45,>50K
31,10,Married-civ-spouse,White,Male,40,>50K
58,16,Married-civ-spouse,White,Male,16,>50K
42,9,Married-civ-spouse,White,Male,45,<=50K
18,9,Never-married,White,Male,25,<=50K
58,9,Divorced,White,Male,33,<=50K
54,9,Married-civ-spouse,White,Male,40,>50K
34,14,Never-married,White,Male,40,<=50K
26,13,Never-married,White,Female,40,<=50K
61,8,Married-civ-spouse,White,Male,60,<=50K
48,14,Separated,Black,Female,40,<=50K
36,10,Married-civ-spouse,White,Male,45,>50K
24,11,Married-civ-spouse,White,Male,45,<=50K
40,10,Married-civ-spouse,White,Male,37,<=50K
33,9,Married-civ-spouse,White,Male,50,>50K
37,10,Married-civ-spouse,White,Male,40,>50K
34,14,Never-married,White,Male,40,<=50K
56,10,Married-civ-spouse,White,Male,40,>50K
28,9,Married-civ-spouse,White,Female,38,>50K
37,13,Widowed,White,Female,55,<=50K
44,9,Divorced,Black,Female,40,<=50K
64,10,Married-civ-spouse,White,Male,8,<=50K
54,9,Divorced,White,Male,45,<=50K
23,9,Never-married,White,Male,50,<=50K
34,13,Married-spouse-absent,Black,Male,40,<=50K
22,9,Never-married,White,Female,45,<=50K
33,13,Married-civ-spouse,White,Male,40,>50K
39,13,Separated,White,Male,50,>50K
47,10,Divorced,Black,Female,37,<=50K
79,4,Widowed,White,Male,40,<=50K
26,9,Never-married,Black,Female,55,<=50K
31,10,Divorced,White,Female,40,<=50K
44,10,Never-married,White,Male,45,<=50K
42,15,Married-civ-spouse,White,Female,50,>50K
19,9,Never-married,White,Female,40,<=50K
27,9,Married-civ-spouse,White,Male,40,>50K
51,10,Married-civ-spouse,White,Male,40,>50K
28,13,Married-civ-spouse,White,Male,50,<=50K
57,13,Divorced,White,Male,45,<=50K
45,13,Divorced,White,Female,40,<=50K
50,11,Married-civ-spouse,White,Male,40,>50K
34,13,Married-civ-spouse,White,Male,54,<=50K
45,4,Married-civ-spouse,Black,Male,40,<=50K
73,9,Married-civ-spouse,White,Male,20,<=50K
34,13,Married-civ-spouse,White,Female,50,>50K
31,10,Married-civ-spouse,White,Male,55,>50K
19,7,Never-married,White,Male,12,<=50K
25,10,Never-married,White,Female,50,<=50K
38,11,Divorced,White,Female,40,<=50K
39,13,Married-civ-spouse,White,Male,40,<=50K
23,13,Never-married,Black,Female,32,<=50K
49,9,Married-civ-spouse,White,Male,40,<=50K
33,9,Never-married,White,Male,32,<=50K
21,3,Never-married,White,Male,38,<=50K
31,11,Separated,White,Male,40,<=50K
23,13,Never-married,White,Female,45,<=50K
34,13,Married-civ-spouse,Asian-Pac-Islander,Male,40,<=50K
25,9,Never-married,Asian-Pac-Islander,Female,40,<=50K
39,9,Never-married,White,Male,40,<=50K
52,9,Married-civ-spouse,White,Male,40,>50K
63,5,Married-civ-spouse,White,Male,40,>50K
41,10,Married-civ-spouse,White,Male,40,<=50K
46,13,Married-civ-spouse,White,Male,38,>50K
53,9,Married-civ-spouse,White,Male,40,<=50K
25,5,Separated,White,Female,40,<=50K
77,10,Married-civ-spouse,White,Male,35,<=50K
18,8,Never-married,White,Male,40,<=50K
38,15,Married-civ-spouse,White,Male,50,<=50K
55,14,Never-married,Asian-Pac-Islander,Female,50,<=50K
34,9,Married-civ-spouse,White,Male,40,>50K
80,9,Married-civ-spouse,White,Male,30,<=50K
34,11,Divorced,White,Female,60,<=50K
52,10,Married-civ-spouse,White,Male,40,<=50K
42,9,Never-married,Black,Female,28,<=50K
26,10,Never-married,White,Female,40,<=50K
31,9,Married-civ-spouse,White,Male,40,<=50K
25,9,Never-married,White,Female,35,<=50K
55,9,Married-civ-spouse,White,Male,60,<=50K
19,10,Never-married,White,Female,12,<=50K
62,10,Married-civ-spouse,White,Male,32,<=50K
22,10,Never-married,White,Female,20,<=50K
39,9,Married-civ-spouse,White,Female,50,<=50K
35,9,Married-civ-spouse,White,Male,40,<=50K
28,9,Married-civ-spouse,White,Female,40,<=50K
47,9,Married-civ-spouse,White,Male,70,>50K
44,9,Married-civ-spouse,White,Male,40,<=50K
21,10,Never-married,White,Male,15,<=50K
35,11,Never-married,White,Male,50,<=50K
24,13,Married-civ-spouse,White,Male,40,>50K
42,13,Never-married,White,Male,40,<=50K
28,13,Never-married,White,Male,50,<=50K
21,10,Never-married,White,Male,35,<=50K
62,10,Divorced,Black,Male,40,<=50K
39,9,Never-married,Black,Female,40,<=50K
30,9,Never-married,White,Male,40,<=50K
72,15,Never-married,White,Male,20,<=50K
50,10,Married-civ-spouse,White,Female,50,<=50K
28,14,Never-married,White,Male,40,<=50K
29,10,Never-married,White,Female,40,<=50K
26,13,Never-married,White,Female,40,<=50K
27,14,Never-married,White,Female,40,<=50K
29,10,Married-civ-spouse,White,Male,40,>50K
61,9,Married-civ-spouse,White,Male,40,<=50K
29,6,Married-civ-spouse,White,Male,25,<=50K
21,10,Never-married,White,Female,30,<=50K
31,7,Married-civ-spouse,White,Female,20,<=50K
25,9,Married-civ-spouse,White,Male,75,<=50K
58,6,Married-civ-spouse,White,Male,40,>50K
64,10,Married-civ-spouse,White,Female,40,>50K
46,14,Never-married,White,Male,38,<=50K
53,9,Married-civ-spouse,White,Male,35,>50K
19,9,Never-married,Amer-Indian-Eskimo,Female,35,<=50K
42,9,Divorced,Black,Male,52,<=50K
18,7,Never-married,White,Male,24,<=50K
58,13,Married-civ-spouse,White,Male,50,>50K
20,10,Never-married,Black,Male,60,<=50K
35,9,Married-civ-spouse,White,Male,40,>50K
32,9,Married-civ-spouse,White,Male,38,>50K
23,9,Never-married,White,Female,25,<=50K
31,10,Divorced,White,Female,40,<=50K
33,13,Married-civ-spouse,Black,Male,55,<=50K
41,10,Never-married,White,Female,48,<=50K
22,9,Never-married,Black,Male,40,<=50K
46,10,Married-civ-spouse,White,Male,40,>50K
61,10,Married-civ-spouse,Black,Male,40,<=50K
30,9,Never-married,Black,Male,40,<=50K
42,9,Married-civ-spouse,White,Male,55,>50K
63,6,Married-civ-spouse,White,Male,40,<=50K
26,10,Married-civ-spouse,White,Male,40,<=50K
42,6,Divorced,White,Female,40,<=50K
23,10,Married-civ-spouse,White,Male,40,<=50K
25,9,Never-married,White,Male,40,<=50K
30,5,Married-civ-spouse,White,Male,32,>50K
23,9,Never-married,White,Male,40,<=50K
34,11,Never-married,White,Male,60,>50K
30,9,Married-civ-spouse,White,Male,48,<=50K
39,10,Married-civ-spouse,White,Male,40,>50K
30,7,Never-married,White,Male,38,<=50K
38,10,Divorced,White,Female,38,<=50K
26,9,Divorced,White,Female,40,<=50K
20,10,Never-married,White,Male,16,<=50K
37,13,Never-married,Black,Male,40,<=50K
33,9,Married-civ-spouse,White,Female,40,<=50K
24,13,Never-married,White,Male,40,<=50K
42,13,Married-civ-spouse,White,Male,60,>50K
51,9,Married-civ-spouse,Asian-Pac-Islander,Male,84,<=50K
56,12,Married-civ-spouse,White,Male,45,>50K
22,10,Never-married,White,Male,40,<=50K
52,10,Married-civ-spouse,White,Male,60,<=50K
44,13,Divorced,White,Female,45,>50K
34,9,Married-civ-spouse,White,Female,35,<=50K
51,10,Divorced,White,Male,42,>50K
20,10,Never-married,White,Male,40,<=50K
19,10,Never-married,White,Female,25,<=50K
37,13,Married-civ-spouse,White,Male,40,>50K
68,9,Married-civ-spouse,Black,Male,40,>50K
22,10,Divorced,White,Male,40,<=50K
56,13,Married-civ-spouse,White,Male,40,<=50K
37,9,Married-civ-spouse,White,Male,40,<=50K
52,2,Married-civ-spouse,White,Male,40,<=50K
26,9,Separated,White,Male,40,<=50K
33,14,Married-civ-spouse,White,Male,50,<=50K
45,14,Divorced,White,Female,42,<=50K
18,7,Never-married,White,Male,15,<=50K
43,10,Married-civ-spouse,White,Male,60,>50K
64,16,Married-civ-spouse,White,Male,50,>50K
18,9,Never-married,White,Male,20,<=50K
20,10,Never-married,White,Male,45,<=50K
57,9,Married-civ-spouse,White,Male,40,>50K
41,9,Divorced,White,Female,42,<=50K
34,14,Married-civ-spouse,White,Male,50,>50K
19,9,Never-married,White,Female,40,<=50K
44,5,Divorced,White,Female,55,<=50K
56,6,Widowed,White,Female,40,<=50K
36,9,Married-civ-spouse,White,Male,80,<=50K
48,13,Divorced,White,Female,48,<=50K
29,9,Married-civ-spouse,White,Male,40,>50K
33,13,Never-married,White,Male,40,<=50K
31,3,Married-civ-spouse,White,Male,40,<=50K
39,14,Married-civ-spouse,White,Male,45,>50K
66,9,Married-civ-spouse,White,Male,40,>50K
27,13,Never-married,White,Female,50,>50K
39,9,Divorced,Black,Female,40,>50K
59,4,Married-civ-spouse,White,Male,50,>50K
26,9,Never-married,White,Female,40,<=50K
31,11,Divorced,White,Male,40,<=50K
45,9,Widowed,White,Female,40,<=50K
23,9,Never-married,White,Male,30,<=50K
36,9,Divorced,White,Female,40,<=50K
34,10,Married-civ-spouse,White,Female,12,>50K
32,9,Married-civ-spouse,White,Male,84,>50K
37,13,Married-civ-spouse,Black,Male,50,>50K
33,13,Never-married,White,Male,45,<=50K
50,15,Married-civ-spouse,White,Male,80,>50K
32,12,Never-married,Black,Male,40,<=50K
35,13,Never-married,Black,Female,40,<=50K
37,7,Married-civ-spouse,White,Male,40,<=50K
44,10,Divorced,White,Male,60,<=50K
57,10,Divorced,White,Male,25,<=50K
29,10,Married-civ-spouse,White,Female,40,<=50K
55,9,Married-civ-spouse,White,Male,50,>50K
43,15,Married-civ-spouse,White,Male,25,>50K
43,10,Married-civ-spouse,White,Male,70,<=50K
45,10,Married-civ-spouse,White,Male,60,>50K
33,14,Married-civ-spouse,White,Female,8,<=50K
26,6,Divorced,White,Female,40,<=50K
23,10,Married-civ-spouse,White,Male,68,<=50K
41,4,Separated,White,Male,40,<=50K
24,9,Married-civ-spouse,White,Male,40,<=50K
47,13,Married-civ-spouse,White,Male,44,<=50K
34,9,Never-married,White,Male,45,<=50K
40,9,Married-civ-spouse,White,Male,40,>50K
28,13,Married-civ-spouse,Asian-Pac-Islander,Female,40,<=50K
24,9,Never-married,Asian-Pac-Islander,Female,40,<=50K
73,10,Married-civ-spouse,White,Male,10,<=50K
23,9,Never-married,White,Male,15,<=50K
43,9,Married-civ-spouse,Black,Male,40,>50K
26,13,Divorced,White,Female,40,<=50K
58,16,Married-AF-spouse,White,Female,35,>50K
52,9,Widowed,Black,Female,35,<=50K
29,7,Married-civ-spouse,White,Male,99,>50K
47,7,Married-civ-spouse,White,Male,35,<=50K
49,9,Divorced,Black,Female,37,<=50K
40,7,Widowed,White,Female,40,<=50K
62,9,Married-civ-spouse,White,Female,40,<=50K
49,9,Married-civ-spouse,White,Male,55,>50K
50,13,Divorced,White,Female,50,>50K
31,9,Never-married,Black,Male,40,<=50K
48,14,Never-married,White,Female,50,<=50K
24,9,Never-married,White,Female,40,<=50K
41,9,Never-married,White,Female,40,<=50K
37,9,Separated,Asian-Pac-Islander,Male,60,<=50K
45,13,Married-civ-spouse,Asian-Pac-Islander,Male,45,>50K
63,9,Married-civ-spouse,White,Male,16,<=50K
36,14,Married-civ-spouse,Asian-Pac-Islander,Male,45,<=50K
45,13,Married-civ-spouse,White,Male,40,<=50K
41,13,Never-married,White,Female,40,<=50K
26,12,Never-married,White,Female,20,<=50K
17,7,Never-married,White,Female,25,<=50K
27,9,Married-civ-spouse,White,Male,36,<=50K
43,9,Married-civ-spouse,White,Male,65,<=50K
35,9,Never-married,White,Male,55,<=50K
38,13,Divorced,White,Female,40,<=50K
26,9,Never-married,White,Male,40,<=50K
28,10,Never-married,White,Female,40,<=50K
38,13,Married-civ-spouse,White,Female,24,>50K
36,7,Divorced,White,Female,40,<=50K
33,9,Married-civ-spouse,White,Female,40,>50K
19,9,Never-married,White,Male,70,<=50K
22,12,Never-married,White,Male,25,<=50K
42,6,Married-civ-spouse,White,Male,40,<=50K
50,6,Married-civ-spouse,White,Male,40,>50K
30,9,Married-civ-spouse,White,Male,30,<=50K
37,10,Married-civ-spouse,Asian-Pac-Islander,Male,40,<=50K
54,15,Married-civ-spouse,White,Male,40,>50K
52,13,Never-married,White,Male,40,<=50K
65,2,Married-civ-spouse,Other,Male,40,<=50K
33,9,Divorced,White,Female,40,<=50K
25,10,Never-married,White,Male,40,<=50K
24,13,Never-married,White,Male,45,<=50K
26,11,Separated,Black,Female,40,<=50K
39,9,Separated,White,Male,40,>50K
59,9,Divorced,White,Female,40,<=50K
29,10,Never-married,White,Female,40,<=50K
47,7,Never-married,White,Female,45,<=50K
23,10,Never-married,White,Female,35,<=50K
64,9,Married-civ-spouse,White,Male,50,<=50K
21,9,Never-married,Other,Male,20,<=50K
32,10,Married-civ-spouse,Black,Female,40,>50K
26,9,Never-married,Black,Female,37,<=50K
19,10,Never-married,Black,Female,20,<=50K
62,14,Married-civ-spouse,White,Male,40,<=50K
32,13,Married-civ-spouse,White,Male,55,>50K
75,6,Married-spouse-absent,White,Female,5,<=50K
45,9,Married-civ-spouse,White,Male,60,<=50K
31,13,Married-civ-spouse,White,Male,50,>50K
32,9,Married-civ-spouse,White,Male,40,<=50K
24,13,Married-civ-spouse,White,Male,40,<=50K
25,13,Never-married,White,Female,40,<=50K
41,9,Married-civ-spouse,White,Male,60,<=50K
18,10,Never-married,White,Female,20,<=50K
44,16,Married-civ-spouse,White,Male,55,>50K
40,10,Married-civ-spouse,White,Male,50,<=50K
27,13,Never-married,White,Male,40,<=50K
23,13,Never-married,White,Male,40,<=50K
21,10,Never-married,Other,Male,40,<=50K
37,9,Married-civ-spouse,White,Male,40,<=50K
65,9,Married-civ-spouse,White,Male,48,<=50K
43,14,Married-civ-spouse,White,Male,40,>50K
45,9,Never-married,White,Male,44,<=50K
24,13,Never-married,White,Female,40,<=50K
24,10,Never-married,White,Male,42,<=50K
19,10,Never-married,White,Male,35,<=50K
37,13,Married-civ-spouse,White,Male,65,>50K
24,9,Never-married,White,Female,35,<=50K
34,10,Married-civ-spouse,White,Male,40,<=50K
50,9,Married-civ-spouse,White,Female,39,<=50K
36,9,Married-civ-spouse,White,Male,40,<=50K
39,13,Married-civ-spouse,White,Male,60,<=50K
44,4,Married-civ-spouse,White,Male,38,<=50K
45,9,Married-civ-spouse,White,Male,40,<=50K
32,7,Never-married,White,Male,40,<=50K
47,14,Married-civ-spouse,Black,Male,40,>50K
50,9,Married-civ-spouse,White,Male,40,<=50K
32,11,Married-civ-spouse,White,Male,40,<=50K
19,9,Never-married,White,Male,40,<=50K
19,10,Never-married,White,Female,20,<=50K
28,14,Divorced,White,Male,10,<=50K
28,9,Divorced,White,Male,50,<=50K
39,14,Never-married,White,Male,40,>50K
21,10,Never-married,White,Male,40,<=50K
73,10,Widowed,White,Female,75,<=50K
39,4,Married-civ-spouse,White,Male,40,<=50K
25,10,Never-married,White,Male,40,<=50K
31,10,Married-AF-spouse,White,Female,20,<=50K
51,10,Divorced,White,Female,32,<=50K
39,13,Married-civ-spouse,White,Female,28,<=50K
31,13,Divorced,White,Male,40,<=50K
21,10,Never-married,Black,Male,17,<=50K
46,13,Divorced,White,Male,50,>50K
73,9,Divorced,White,Female,35,<=50K
41,9,Divorced,White,Male,40,<=50K
20,9,Never-married,White,Male,40,<=50K
27,12,Never-married,White,Male,30,<=50K
24,13,Never-married,White,Male,35,<=50K
20,10,Married-civ-spouse,White,Male,40,<=50K
39,11,Never-married,White,Male,40,<=50K
27,13,Never-married,White,Male,28,<=50K
33,7,Married-civ-spouse,White,Male,60,<=50K
33,9,Married-civ-spouse,Amer-Indian-Eskimo,Male,40,<=50K
36,5,Married-civ-spouse,Black,Male,40,<=50K
55,10,Married-civ-spouse,White,Male,36,<=50K
19,10,Never-married,White,Male,40,<=50K
35,9,Never-married,White,Male,60,<=50K
34,3,Never-married,Asian-Pac-Islander,Male,40,<=50K
62,15,Divorced,White,Female,35,<=50K
33,10,Married-civ-spouse,White,Male,40,>50K
39,5,Married-civ-spouse,White,Male,55,<=50K
36,10,Married-civ-spouse,White,Male,40,<=50K
41,13,Divorced,White,Female,33,<=50K
39,9,Married-civ-spouse,White,Male,60,<=50K
38,9,Married-civ-spouse,White,Female,10,>50K
18,9,Never-married,White,Female,10,<=50K
61,10,Married-civ-spouse,White,Male,45,>50K
20,11,Never-married,White,Female,36,<=50K
35,9,Married-civ-spouse,White,Male,65,>50K
27,9,Never-married,White,Male,40,<=50K
66,6,Widowed,White,Female,38,<=50K
21,9,Never-married,Black,Male,40,<=50K
20,10,Never-married,White,Female,18,<=50K
34,10,Divorced,White,Male,40,<=50K
63,3,Never-married,White,Female,50,<=50K
20,9,Never-married,White,Male,40,<=50K
31,9,Separated,White,Female,40,<=50K
41,16,Married-civ-spouse,White,Male,60,<=50K
64,2,Married-civ-spouse,Other,Male,45,<=50K
32,13,Never-married,White,Female,40,<=50K
30,9,Married-civ-spouse,White,Male,50,>50K
36,13,Married-civ-spouse,White,Male,72,<=50K
22,10,Never-married,White,Male,12,<=50K
53,10,Married-civ-spouse,White,Male,50,<=50K
50,9,Widowed,Amer-Indian-Eskimo,Female,40,<=50K
36,13,Married-civ-spouse,White,Male,40,<=50K
41,7,Married-civ-spouse,White,Male,40,<=50K
55,13,Never-married,White,Female,35,<=50K
38,13,Married-civ-spouse,White,Male,50,>50K
28,13,Never-married,Black,Male,50,<=50K
24,13,Never-married,White,Female,37,<=50K
60,10,Divorced,White,Female,40,<=50K
54,6,Married-civ-spouse,Black,Male,40,<=50K
27,9,Married-civ-spouse,White,Male,60,<=50K
30,14,Married-civ-spouse,White,Female,30,<=50K
54,9,Widowed,White,Male,45,<=50K
44,10,Married-civ-spouse,White,Male,40,>50K
52,9,Married-civ-spouse,White,Male,60,>50K
18,7,Never-married,White,Male,20,<=50K
55,4,Married-civ-spouse,White,Male,50,<=50K
35,13,Married-civ-spouse,White,Male,50,>50K
37,13,Divorced,White,Female,40,>50K
22,10,Never-married,White,Female,40,<=50K
45,13,Married-civ-spouse,White,Male,45,>50K
38,13,Married-civ-spouse,White,Male,60,<=50K
48,13,Married-civ-spouse,White,Male,40,<=50K
35,11,Married-civ-spouse,White,Male,40,<=50K
21,11,Married-civ-spouse,White,Male,50,<=50K
37,9,Married-civ-spouse,Asian-Pac-Islander,Male,60,>50K
18,7,Never-married,White,Male,25,<=50K
26,6,Divorced,White,Male,35,<=50K
48,13,Married-civ-spouse,White,Male,50,<=50K
51,10,Separated,Black,Male,40,>50K
52,10,Married-civ-spouse,White,Male,40,<=50K
32,13,Married-civ-spouse,White,Male,40,>50K
39,13,Married-civ-spouse,White,Male,60,<=50K
51,13,Married-civ-spouse,White,Male,40,>50K
54,13,Married-civ-spouse,White,Male,50,<=50K
21,10,Never-married,White,Female,25,<=50K
43,9,Separated,Black,Female,40,<=50K
32,10,Never-married,White,Female,40,<=50K
31,14,Married-civ-spouse,White,Male,35,>50K
73,9,Married-civ-spouse,White,Male,8,<=50K
26,10,Never-married,Asian-Pac-Islander,Male,60,<=50K
35,9,Never-married,White,Male,40,<=50K
73,3,Married-civ-spouse,White,Male,54,>50K
25,13,Never-married,White,Female,40,<=50K
58,11,Married-civ-spouse,White,Male,65,<=50K
32,9,Separated,White,Female,37,<=50K
28,13,Married-civ-spouse,White,Male,40,<=50K
41,14,Never-married,White,Female,30,<=50K
53,9,Married-civ-spouse,White,Male,48,<=50K
49,9,Separated,White,Female,35,<=50K
55,13,Married-civ-spouse,White,Male,40,>50K
29,10,Married-civ-spouse,White,Female,50,>50K
28,11,Married-civ-spouse,White,Male,80,<=50K
44,9,Married-civ-spouse,White,Male,45,<=50K
41,14,Married-civ-spouse,White,Male,45,>50K
26,11,Married-civ-spouse,White,Male,45,>50K
23,9,Married-civ-spouse,White,Male,40,>50K
37,13,Married-civ-spouse,White,Female,40,>50K
23,13,Never-married,White,Male,50,>50K
33,10,Never-married,Black,Female,40,<=50K
44,9,Never-married,White,Male,40,>50K
21,10,Never-married,White,Male,30,<=50K
36,7,Married-civ-spouse,White,Male,40,<=50K
44,13,Married-civ-spouse,White,Male,40,<=50K
23,9,Never-married,Black,Female,40,<=50K
26,9,Divorced,White,Male,40,<=50K
